cleaned_review,emotion
reception poor,negative
items stated included description included,negative
3 months screen went black sudden,negative
hoping,negative
audio quality poor poor,negative
ive bought 5 wired headphones sound better,negative
phone fast sending kind messages web browsing significantly faster previous phones used,positive
nice quality build unlike cheap,positive
w810i superb,positive
great charger,positive
essentially communications tool communicate,negative
works like charm work one got phone,positive
still maintain monkeys shouldnt make headphones obviously dont share enough dna copy design humans,negative
great value,positive
look sharp screen nice clear great graphics,positive
doesnt last long,negative
one thing hate mode set button side,negative
excellent service,positive
thank wasting money,negative
bethe audio quality poor,negative
igo chargers tips really great,positive
superb phone great network,positive
connected wifes bluetoothmotorola hs850 phone worked like charm whether phone pocket case,positive
recognizes phone storage device,negative
dont buy product,negative
ive bluetoooth headset time still comfortable way fits ear,negative
sound quality good functionality awesome,positive
phone thorn side really abhor,negative
recently problems could stay connected 10 minutes disconnected,negative
incredible,positive
design flaw,negative
great phone,positive
waste 13 bucks,negative
check voice mail night keypad backlight turns seconds first message im lost,negative
replacement died weeks,negative
lately extremely nice helpful phone,positive
problems wit hit dropping signal,negative
impressed,negative
light weight hardly notice,positive
youll love thin,positive
bad choice,negative
pleather case doesnt fit,negative
useless phone simply deaf,negative
color even prettier thought would graphics incredibly sharp,positive
think good investment,positive
makes strange ticking noises ends call,negative
best electronics available fm transmitters,positive
battery lasts hours,negative
great headset impressed h500,positive
ive nearly 2 years worked great,positive
good transmit audio,positive
sending back,negative
bother contacting company dollar product learned lesson bought form online anyway,negative
hate earbugs avoid phone means,negative
range decent ive able roam around house phone living room receptionsound quality issues,positive
fast service,positive
would highly recommend,positive
would recommend,positive
also didnt like button felt like would crack use,negative
worst phone ever,negative
im still infatuated phone,positive
freezes frequently4,negative
kind embarrassing use looks mostly embarrassing childlike company,negative
simple lightweight great fit,positive
id expected better consumer experience motorola,negative
theres horrible tick sound background calls never experienced,negative
certainly comfortable functionality decent,positive
usually dont like headbands one lightweight doesnt mess hair,positive
im bit disappointed,negative
phone year tell great,negative
ordered sony ericsson w810i think worked thats first used,negative
battery completely useless,negative
big waste time,negative
dont waste one,negative
great sound service,positive
really pleased product far,positive
one favorite purchases ever,positive
best bluetooth market,positive
excited get headset thought really cute,positive
make mistake,negative
big disappointment calendar sync,negative
phone unusable new,negative
worst customer service ever,negative
additional ear gels provided instructions whatsoever,negative
defeats purpose bluetooth headset,negative
worth every penny,positive
excellent wallet type phone case,positive
internet excrutiatingly slow,negative
comfortable wear well probably important aspect using case,positive
fits like glove strong secure durable,positive
gosh best phone ever,positive
attractive appears good quality,positive
love features form factor,positive
poor quality service,negative
cable looks thin flimsy scary,negative
great earpiece,positive
excellent hands free tool,positive
great using home stereo,positive
good product incredible value,positive
month worked flawlessly far,positive
works great,positive
absolutel junk,negative
one didnt work either,negative
battery life real good,positive
returned 8 hours later,negative
great item,positive
dont waste money,negative
drain player may also potentially fry,negative
unreliable im giving,negative
gave 5 stars sound quality,positive
avoid one,negative
reversible plug works great,positive
wasted little money earpiece,negative
good phone,positive
best rotating feature helpful,positive
comfort whole family,positive
good product good seller,positive
first doesnt wear well,negative
impressed headset plantronics,positive
got small adorable,positive
great phone,positive
wouldnt recommend buying product,negative
piece junk,negative
poorly contstruct hinge,negative
great phone,positive
dont buy,negative
excellent phone,positive
purchase phone,negative
voice recognition thru handset excellent,positive
hands best phone ive ever,positive
works great cat attacked phone scratched protective strip instead destroying screen,positive
one works priced right,positive
customer service terrible,negative
battery life still long enough motorola razor v3i,negative
sending back,negative
know made wise decision,positive
someone shouldve invented sooner,positive
good price,positive
working great,positive
many people complained found headsets microphone weak,negative
5year old nokia 2160 tracfone holds charge lot better,negative
care consumer one bit,negative
good battery got really fast,positive
instruction manual lacking,negative
also slim enough fit alarm clock docking station without removing case,positive
phone holds charge like new,positive
battery unreliable well service use antena,negative
uncomfortable sound quality quite poor compared phone razr previous wired headset plugged lg,negative
gotten lot compliments,positive
definitely must state allow cell phone usage driving,positive
want money back,negative
love device,positive
also happy price,positive
ordered product first unhappy immediately,negative
ngage still lacking earbuds,negative
able voice dialing car problem,positive
23 bars cell phone home cant hear anything,negative
good item low price,positive
howeverthe riingtones best neither games,negative
plug work well,negative
amazon sucks,negative
rip charge shipping,negative
comfortable,positive
battery working well replacement original came phone 2 years ago,positive
fits comfortably either ear sound clear loud charge lasts couple days,positive
clear quality sound dont mess sound ipod since sound buttons headset,positive
obviously problem adhesive,negative
disappointing,negative
inexpensive piece would still expected better quality,negative
practically useless add kind boost reception bought,negative
excellent sound quality,positive
happy,negative
new battery works great phone,positive
worst customer service,negative
ive dropped phone times say even concrete phone still great knock wood,positive
reception terrible full static,negative
good audio quality,positive
little device transformed organizational capability made life whole lot easier,positive
sitting vehicle cradle belt headset lost signal,negative
jerks phone,negative
comfortable nice range good battery life,positive
network coverage los angeles horrible,negative
excellent starter wireless headset,negative
thing think could improve sound leaks headset,negative
first reception sucks never 2 bars ever,negative
microphone also works well according people called applifies everything,positive
nice design quality,positive
also phone dropped case going save specially dropped face,negative
light easy use clear reception transmission,positive
bad fit way big,negative
definitely good s11,positive
awesome device,positive
waste money,negative
ordered motorola data cable got well finished working product,positive
love phone,positive
looking headset long time ive got couldnt happier,positive
ill drivng along headset starts ringing reason,negative
display excellent camera good year,positive
embarassing also ears hurt try push ear plug ear,negative
protects phone sides,positive
average phone bad battery life operates weak network,negative
clear skype calls long battery life long range,positive
soyo technology sucks,negative
great hands free device,positive
even take self portraits outside exterior display cool,positive
problem others mentioned,negative
trying many many handsfree gadgets one finally works well,positive
magical help,positive
worst piece crap ever along verizon customer service,negative
poor sound quality,negative
best phone market,positive
worked well,positive
company shipped product promptly works well,positive
exactly wanted,positive
picture resolution far comparablypriced phones offering today,negative
great deal,positive
excellent product satisfied purchase,positive
highly recommend encourage people give try,positive
better youd expect,positive
using earpieces left right thing stay ear,negative
great product price,positive
prompt service,positive
excellent product price,positive
pleased headset,positive
dont waste money time,negative
especially love long battery life,positive
stupid keep buying new chargers car chargers cradles headphones car kits every time new phone comes,negative
works great,positive
plantronics bluetooth excelent buy,positive
ill looking new earpiece,negative
year battery went completely dead headset,negative
used several phone two years one best,positive
awesome new look fall 2000,positive
first phone ive cheaply made,negative
att clear sound distorted yell talk,negative
plastic breaks really easy clip,negative
price good,positive
dont make mistake,negative
oh forgot also mention weird color effect phone,negative
im using iriver spinn case fits fine,positive
overall psyched phone appointments contacts gets great reception,positive
every thing phone work perfectly like,positive
another note phones appearance really looks rather bland especially black model,negative
really easy,positive
sanyo survived dozens drops blacktop without ill effect,positive
fantastic earphones,positive
finds cell phone right away enter car,positive
low quality,negative
highly recommend modest priced cellular phone,positive
get better reception clarity phone ive,positive
warning stay away,negative
wish could return unit get back money,negative
awsome device works great,positive
used talk 1 1 12 hours battery would literally drained dying,negative
displeased,negative
might gotten defect would risk buying built quality alone,negative
made case small difficult install,negative
restored phone like new performance,positive
would recommend purchasing jabra jx10 series 2 works flawlessly moto q go figure,positive
searched internet found one best value,positive
fit,negative
happy product,positive
screen size big key pad lit well enough camera quality excellent camera phone,positive
theres really nothing bad say headset,negative
im glad found product amazon hard find wasnt high priced,positive
portable works,positive
even fully charged went bed turned blue tooth wifi noticed 20 left morning,negative
ive also problems phone reading memory card always turn,negative
good wearing hat sunglasses,negative
timely shipment quality product,positive
nice solid keyboard,positive
well made fits surefire gx2 perfectly,positive
horrible phone,negative
bt50 battery junk,negative
would recommend others,positive
cant get software work computer,negative
disappointed,negative
poor voice clarity,negative
buyers remorse one,negative
disappointed accessoryone,negative
find inexcusable probably returning phone perhaps changing carriers,negative
looks great strong,positive
tmobile service 2 3 years pretty happy,positive
update procedure difficult cumbersome,negative
great software motorolas,positive
delivery time,positive
easy use,positive
uncomfortable ear dont use lg vx9900 env,negative
volume switch rocketed unit destination unknown,negative
holds charge long time reasonably comfortable longwearing conditions quality sound tremendous,positive
id like return,negative
keyboard really worthwhile usefulness sturdy enough dont expect problems,positive
verizons bills however difficult understand even though pricing plans simple,negative
charging overnight batteries work great,positive
love phone,positive
disappointment,negative
user friendly,negative
unfortunately ability actually know receiving call rather important feature phone pitiful respect,negative
exchanged phone even problem,negative
results phone either stuck max volume mute,negative
pda rocks,positive
super charged use small hybrid palmtopcameracellphone excels roles,positive
verizon 2 years ago really liked service,positive
pretty piece junk,negative
plug wrong size,negative
works described,positive
bad purchase,negative
well im satisfied,positive
bose noise cancelling amazing important nyc commuter,positive
defective crap,negative
would given star able,negative
wear glasses fits fine,positive
would recommend item anyone,negative
holster arrived match photo ad,negative
earlier review noted plug charger nothing happens,negative
frog phone charm adorable eye catching,positive
never know pushed hard enough right number times function want,negative
sound clear people talk amazed quality,positive
got aluminum case new palm vx worked really wellit protected handheld perfectly far,positive
good product well made,positive
mobile phone tools must,positive
impressed job motorola sturdiness phone,positive
received orders well within shipping timeframe everything good working order overall excited source,positive
phone sturdy waterproof,positive
impressed would recommend item anyone,negative
ended sliding edge pants back pockets instead,positive
go store bought new nokia phone working great,positive
works great,positive
really ugly,negative
horrible switch 3 times,negative
noise shield incrediable,positive
real improvement,negative
razr battery good buy,positive
refuse refund replace,negative
unfortunately easy accidentally activate gentletouch buttons accidentally touch phone face listening,negative
basically threw money window nothing,negative
bluetooth range good days ago left phone trunk got call carried conversation without hitch,positive
small sleek impressive looking practical setup ample storage place,positive
eargels channel sound directly ear seem increase sound volume clarity,positive
none new ones ever quite worked properly,negative
glad purchased,positive
ive missed numerous calls reason,negative
perhaps phone defective people hear use,negative
dont buy product,negative
sucked stuff work phone,negative
shifting bubbling peeling even scratch nothingi couldnt happier new one droid,positive
trying make call exercise frustration,negative
case flimsy piece plastic front side protection whatsoever,negative
jabra earset happy sound quality especially outgoing better,positive
love camera really pretty good quality,positive
thank great service,positive
total package,positive
seller understanding patient would definitely buy,positive
great product price,positive
none works dont buy,negative
muddy low quality sound casing around wires insert poorly super glued slid,negative
please dont waste money,negative
im quite satisfied purchase,positive
looking good quality motorola headset keep looking isnt,negative
yet plantronincs continues use flawed charger design,negative
disapointing results,negative
cumbersome design,negative
great product,positive
fixes problems,positive
worst ever,negative
ive trouble accessing internet downloading ringtones performing functions,positive
battery life highly unacceptable,negative
company joke,negative
everything description said would,positive
due happening every call forced stop using headset,negative
works great car charger especially plug two adapters time,positive
verizon tech support walked procedures none worked ended hard reset wiping data,negative
voice quality signal strength dropped calls,negative
plays louder speaker size price low would think quality lacking however,positive
better expected,positive
feels poorly constructed menus difficult navigate buttons recessed difficult push,negative
battery holding well,positive
used two days wasnt always easy hear,negative
sprint terrible customer service,negative
linked phone without effort,positive
easy use,positive
better new,positive
piece trash,negative
pretty good product,positive
great phone,positive
price amazon excellent product would highly recommend,positive
research development division obviously knows theyre,positive
real killer volume course breaking,negative
phones working fine,positive
happy product,positive
poor construction,negative
infuriating,negative
overall would recommend phone new walkman,positive
sprint charges service,negative
cheap feel look cheap,negative
fits ear well comfortable,positive
doesnt work europe asia,negative
clipping belt deffinitely make feel like 50 cents upandcoming,positive
like design look jabra behing ear headsets 5020 pretty comfortible wear 24 hours day without pain ear,positive
amazed quick arrival two original lg cell phone batteries fraction price,positive
charger worked week completely stopped charging phone,negative
poor product,negative
however needed better instructions,negative
worked well paired treo 700w skype headset pc using usb bluetooth transceiver,positive
steer clear product go genuine palm replacementr pens come threepack,negative
plus seriously believe worth steep price point,negative
cases ive tried normally fall apart months one seems long haul,positive
dissapointing performance,negative
dont make mistake please dont buy phone,negative
phone might well worst ive ever brand,negative
case less extra originally put later discarded scratched ear,negative
recommend igo anyone different brand cell phonesmp3 players family,positive
dont bother go store,negative
problem item would order needed,positive
get pay guess,negative
software great job could also make ringtones form existing cds without internet connection,positive
im surprised good quality car charger theres much reviews,positive
however bt headsets currently good real time games like firstperson shooters since audio delay messes,negative
disappointing accessory good manufacturer,negative
performed awful muffled tinny incoming sound severe echo end call,negative
windresistant,positive
obviously terrible customer service get pay,negative
contacted company told although unit still warranty couldnt produce receipt luck,negative
phone sturdy nokia bar phones,positive
great phone,positive
placed treo case snug lot extra room sides,negative
im pleased,positive
battery terrible,negative
found product easy set use,positive
charger arrived within promised timeframe work,negative
ear loop needed tiny sound great,positive
finally three four times spring latch broke could use longer visor,negative
talk useless customer service,negative
felt light tinny,negative
fit palm tungsten e2 broke first time tried plug,negative
im happy purchase good quality low price,positive
love look feel samsung flipphones,positive
welldesigned sharp blue nice color,positive
everything,positive
could recommend,negative
nice sound,positive
much less jawbone going replace,positive
setup went smoothly,positive
extremely slow takes forever anything,negative
must study anyone interested worst sins industrial design,negative
first thing happened tracking,negative
well made easy access phone handy detachable belt clip,positive
continue pairing periodically since somehow kept dropping,negative
cant upload ringtones third party,negative
bluetooth work phone locks screens flash makes calls randomly pocket locked,negative
truly awful,negative
works fine motorola 325 cellphone lot better wornout battery,positive
volume ringer real good choices loud,positive
none tones acceptable,negative
camera color balance awful,negative
product clearly ready prime time dont care cool looks cant tell call coming worthless,negative
chinese forgeries abound,negative
easy pair samsung cell,positive
instructions didnt explain microphone jack could used,negative
would advise purchase item never worked well,negative
works well,positive
nokia ca42 usb cable work phone,negative
clear crisp sound,positive
use smallest earpieces provided stays pretty well,positive
biggest complaint battery drains superfast,negative
design might ergonomic theory could stand ear,negative
buy want use holster,negative
phone also take great pictures even video clips,positive
doesnt make look cool,negative
ears occupied background distracting,positive
comfortable fit need headset comfortable least hour time entire day,positive
also phone doesnt seem accept anything except cbr mp3s preferably ripped windows media player,negative
cant beat price,positive
lightweight works well,positive
beware,negative
love cable allows connect miniusb device pc,positive
anyone near hear part conversation,negative
cool cases open allowing screen get scratched,positive
bought phone replacement startac regretted since,negative
appears actually outperform original battery china came v325i,positive
cant store anything phone numbers sim,negative
poor quality,negative
jabra ear gels r best,positive
worth,negative
phone crashed completely get replaced,negative
quit working id used 18 months purchased another one best headset ive ever owned,positive
unfortunately recharge iphone 4s despite connecting multiple power sources imac external battery wall outlet etc,negative
great phone,positive
simply want small flip phone look elsewhere extra bells whistles mediocre,negative
good value works fine power via usb car wall outlet,positive
phone doesnt slide around car grip prevents phone slipping hand,positive
always used corded headsets freedom wireless helpful,positive
case passed one year mark shows signs wear 100 functional,positive
leather nice soft fit tight cut face good shape,positive
everything need couldnt ask,positive
receiving using product 2 days broke,negative
none three sizes sent headset would stay ears,negative
tmobile best customer service anywhere,positive
arrived quickly much less expensive others sold,positive
provides good protection looks classy,positive
krussel always good,positive
tracfonewebsite user friendly makes easy toactivate etc,positive
great reception time,positive
would highly recommend product,positive
dit work time nokia 5320,negative
bought mainly charger broke soon purchasing,negative
stay away store careful,negative
blueant supertooth handsfree phone speaker awesome,positive
fit,negative
light plenty battery capacity confortable wear somewhat extended periods time,positive
disappointing,negative
blue ant easy use,positive
days later puff smoke came phone use,negative
convenient simple use gets job done makes car ride much smoother,positive
sound quality excellent well,positive
best headset used,positive
would reccommend,negative
around years carries highest quality antiglare screen protector found date,positive
wanted,positive
particular model would work motorola q smartphone,negative
wont work right atleast,negative
addition feels amp looks phone lightweight cheap plastic,negative
great product,positive
crisp clear,positive
first charge kept going dead 12 minutes,negative
cheap plastic creaks like old wooden floor,negative
get absolutely horrible reception apartment phones problem,negative
reception generally good,positive
excellent sound battery life inconspicuous boot,positive
great bluetooth,positive
highly recommend case,positive
worthwhile,positive
great deal,positive
phone got year old slowly breaking despite much care part,negative
sorry made purchase,negative
bought hoping could make bluetooth headset fit better things made impossible wear,negative
treo tmobile refused replace forced buy another phone without kind upgrade discount,negative
horrible,negative
dont think would hold securly belt,negative
allows possibility double booking date time first,negative
work 2 weeks break,negative
simple use like,positive
cant use case smell disgusting,negative
wanted,negative
2 cases would order another,positive
great phone,positive
bought battery coupon amazon im happy purchase,positive
internet access fine rare instance worked,negative
perfect ps3,positive
five star plus plus,positive
50 drain,negative
tried talking real loud shouting telephone gets old still told wasnt great,negative
good works fine,positive
price great deal,positive
wind completely useless,negative
work,negative
reception headset excellent,positive
verizon lg phone work well together good reception range exceeds 20 feet line sight,positive
1 works 2 comfortable,positive
battery chargelife quite long,positive
jabra eargels fit ears well,positive
battery life,negative
checked everywhere feature really disappointing,negative
product exactly described,positive
gets signal verizon phones wont,positive
doesnt job,negative
would recommend,positive
plan ordering,positive
said phone camera nice many cool effects play video decent well,positive
satisfied cell phone day one,positive
keep getting better better third one ive numerous palms,positive
awkward use unreliable,negative
good hoped,negative
good case,positive
doesnt work,negative
really good product,positive
unfortunately work,negative
three broke within two months use,negative
dont buy,negative
father v265 battery dying,negative
however ear pads come easily one week lost one,negative
calls drop phone comes screen goes black worst stops ringing intermittently,negative
horrible horrible protector,negative
dont like nokia either,negative
bought nokia cell phone weeks ago nightmare,negative
would take long describe bad customer service experience amazon,negative
product useless since enough charging current charge 2 cellphones planning use,negative
says,negative
stay away q,negative
used dirty,negative
good enough price,negative
bought two neither charge,negative
looks nice,positive
excellent tool especially paired phones autoanswer,positive
read others reviews havent problem,positive
products cover important light sensor ear outlet,negative
comfortable hand,positive
work,negative
poor reliability,negative
take picture battery drops bar starts beeping letting know dieing,negative
last time buying,negative
waste money,negative
far worked like charm,positive
weeks far good,positive
case best part download pictures laptop using ir even send pictures laptop phone,positive
would recommend item,positive
nice case feels good hands,positive
item received counterfeit,negative
works fine,positive
received headset good time happy,positive
pleased see could replace well travled swivel holster blackberry flip,positive
sister one also loves,positive
good quality,positive
far worst purchase ive made amazon,negative
excellent dualpurpose headset,positive
excellent,positive
work listening music cingular 8125,negative
seems completely secure holding belt keeping iphone inside,positive
trouble volume,negative
good thing fits comfortably small ears,positive
warning buy,negative
pairing iphone could happier far,positive
opens battery connection broken device turned,negative
didnt want clip going top ear causing discomfort,negative
best headset ever,positive
dont trust website dont expect helpful support,negative
speaker low quality making ring tones sound cheap,negative
fits comfortably came three sizes earbud tips,positive
excellent product price,positive
bad reception,negative
quite comfortable ear,positive
great phone,positive
dont buy product fails,negative
pairing two devices easy barely took couple minutes started making calls voice dialing feature,positive
utterly confusing first caused lose couple important contacts,negative
terrible phone holder,negative
cutouts buttons placed perfectly,positive
love able use one headset landline cell,positive
problem ear loops made weak material break easily,negative
nearly good looking amazon picture makes look,negative
despite flaws case exceptional quality well worth additional costs owning official oem product,positive
hear im driving car usually dont even put loudest setting,positive
seller shipped quickly much cheaper competitors,positive
good show samsung,positive
bought 10 saved alot money,positive
always cuts makes beep beep beep sound says signal failed,negative
phone sounded ok great ok wifes phone almost totally unintelligible couldnt understand word said,negative
take battery phone put back together restart,negative
managed bend leaf spring back place metal enough stress break next drop,negative
leopard print wonderfully wild,positive
works,positive
saggy floppy piece junk,negative
much better hard plastic cases,positive
also new problem,negative
happy far,positive
cool phone,positive
works good,positive
motorola finally got voice quality bluetooth headset right,positive
looses connection phone even within couple feet two,negative
makes easier keep bluetooth im wearing,negative
pair headphones worst ever soundwise,negative
charge cingular att 8525 phone,negative
get extra minutes carry call get cut,positive
however year fliptop started get loose wobbly eventually screen went black couldnt receive place calls,negative
kept catching cable seat pull phone turn,negative
headset fulfills requirements happy purchase,positive
logitech bluetooth headset 10,positive
like fact rests lightly ear rather inside,positive
lot websites rating good phone,positive
tried cables computer ipod works fine,positive
mic joke volume quite low,negative
im returning,negative
maintain connection computer lap,negative
easy turn car volume controls quite accessable,positive
mine year christmas bought rest family,positive
otherwise easy install use clear sound,positive
nice leather,positive
purchase different case,negative
joy use,positive
much disappointed company,negative
satisifed,positive
didnt charge,negative
buttons small,negative
reading specs alone makes say wow,positive
really like product motorola allot clearer ear piece mic,positive
however keypads tinny sometimes reach wrong buttons,negative
exchanged sony ericson z500a im pretty happy decision,positive
impressed price cases,positive
also makes easier hold,positive
pretty easy,positive
make calls certain places,negative
however girl complain time phone doesnt wake like normal phone,negative
beautiful styling though,positive
company charge restocking fee still given refund back,negative
im trying return refund,negative
plugged find darn thing worked,negative
excellent product,positive
earbud piece breaks easily,negative
lousy product,negative
phone tries hard everything fails ability phone,negative
best charger seen market yet,positive
oh charger seems work fine,positive
fits securely ear hook even need used sound better directed ear canal,positive
enough volume,negative
could take 2 videos time quality poor,negative
dont waste money,negative
going first negatively review product,negative
adapter provide enough charging current,negative
much hype phone assumed best mistake,negative
also take pictures case lense covered,negative
phone falls easily,negative
didnt work people hear talk,negative
text messaging feature really tricky use,negative
im really disappointed charger doesnt work,negative
painful ear,negative
lasted one day blew,negative
disappointed,negative
kind flops around,negative
screen get smudged easily touches ear face,negative
item match picture,negative
thing disappoint infra red port irda,negative
wow loved place,positive
crust good,negative
tasty texture nasty,negative
stopped late may bank holiday rick steve recommendation loved,positive
selection menu great prices,positive
getting angry want damn pho,negative
honeslty didnt taste fresh,negative
potatoes like rubber could tell made ahead time kept warmer,negative
fries great,positive
great touch,positive
service prompt,positive
would go back,negative
cashier care ever say still ended wayyy overpriced,negative
disgusted pretty sure human hair,negative
shocked signs indicate cash,negative
highly recommended,positive
waitress little slow service,negative
like,negative
burrittos blah,negative
service also cute,positive
could care less interior beautiful,positive
performed,positive
thats rightthe red velvet cakeohhh stuff good,positive
name,negative
worst salmon sashimi,negative
like final blow,negative
found place accident could happier,positive
redeeming quality restaurant inexpensive,positive
ample portions good prices,positive
first visit hiro delight,positive
service sucks,negative
shrimp tender moist,positive
deal good enough would drag establishment,negative
hard judge whether sides good grossed melted styrofoam didnt want eat fear getting sick,negative
thing like prime rib dessert section,positive
bad food damn generic,negative
want sandwich go firehouse,positive
ordered duck rare pink tender inside nice char outside,positive
came running us realized husband left sunglasses table,positive
chow mein good,positive
portion huge,positive
heart attack grill downtown vegas absolutely flatlined excuse restaurant,negative
much seafood like 5 strings pasta bottom,negative
least think refill water struggle wave 10 minutes,negative
place receives stars appetizers,positive
cocktails handmade delicious,positive
wed definitely go back,positive
glad found place,positive
always great time dos gringos,positive
updatewent back second time still amazing,positive
got food apparently never heard salt batter fish chewy,negative
great way finish great,positive
service meh,negative
scallop dish quite appalling value well,negative
2 times bad customer service,negative
sweet potato fries good seasoned well,positive
today second time ive lunch buffet pretty good,positive
much good food vegas feel cheated wasting eating opportunity going rice company,negative
coming like experiencing underwhelming relationship parties cant wait person ask break,negative
walked place smelled like old grease trap 2 others eating,negative
turkey roast beef bland,negative
place,positive
pan cakes everyone raving taste like sugary disaster tailored palate six year old,negative
love pho spring rolls oh yummy try,positive
poor batter meat ratio made chicken tenders unsatisfying,negative
say food amazing,positive
omelets die,positive
everything fresh delicious,positive
best breakfast buffet,positive
say bye bye tip lady,negative
well never go,negative
back,positive
food arrived quickly,positive
good,negative
one better buffets,positive
went tigerlilly fantastic afternoon,positive
ambience wonderful music playing,positive
go back next trip,positive
sooooo good,positive
really fantastic thai restaurant definitely worth visit,positive
good prices,positive
check,positive
pretty gross,negative
ive better atmosphere,negative
kind hard mess steak,negative
dont know place managed served blandest food ever eaten preparing indian cuisine,negative
service fine waitress friendly,positive
bland liking place number reasons dont want waste time bad reviewing ill leave,negative
wouldnt return,negative
place way overpriced mediocre food,negative
penne vodka excellent,positive
management rude,negative
seriously solid breakfast,positive
one best bars food vegas,positive
drink never empty made really great menu suggestions,positive
dont,negative
waiter wasnt helpful friendly rarely checked us,negative
husband ate lunch disappointed food service,negative
red curry much bamboo shoots wasnt tasty,negative
nice blanket moz top feel like done cover subpar food,positive
bathrooms clean place well decorated,positive
give 2 thumbs,negative
watched waiter pay lot attention tables ignore us,negative
fiancé came middle day greeted seated right away,positive
great restaurant mandalay bay,positive
waited forty five minutes vain,negative
crostini came salad stale,negative
highlights great quality nigiri,positive
staff friendly joint always clean,positive
different cut piece day still wonderful tender well well flavored,positive
ordered voodoo pasta first time id really excellent pasta since going gluten free several years ago,positive
place good,positive
came back today since relocated still impressed,negative
seated immediately,positive
avoid cost,negative
restaurant always full never wait,positive
delicious,positive
place handsdown one best places eat phoenix metro area,positive
dont go looking good food,negative
ive never treated bad,negative
bacon hella salty,positive
waitresses friendly,positive
everything menu terrific also thrilled made amazing accommodations vegetarian daughter,positive
service leaves lot desired,negative
literally sat 20 minutes one asking take order,negative
also decided send back waitress looked like verge heart attack,negative
dressed treated rudely,negative
probably dirt,negative
ordered lemon raspberry ice cocktail also incredible,positive
interesting decor,positive
really like crepe station,positive
watch preparing delicious food,positive
